run	doculect	accuracy	purity	words	sounds
1	Tuamotuan	0.7036111111111109	0.8071646901645076	93	20
1	Maori	0.7093586238323077	0.7985315531765893	101	20
1	Ra’ivavae	0.7762896825396827	0.7756847624418114	82	18
1	Mangareva	0.6832921047206763	0.792340868324404	110	21
1	Tahitian	0.7663477891156462	0.812182647453504	84	19
1	Rurutuan	0.7141272978229498	0.7896608208246606	88	18
1	North_Marquesan	0.6774447278911564	0.8287843753098058	123	22
1	Sikaiana	0.7124176548089594	0.7960130708012738	101	18
1	Hawaiian	0.7389023405972558	0.8366988020318344	113	18
1	Rapanui	0.6792242703533025	0.7807427677217714	104	18
2	Tuamotuan	0.7927474552474553	0.8201817211889897	91	20
2	Maori	0.6620455709165388	0.7636415136917416	105	20
2	Ra’ivavae	0.6707611832611834	0.7020167266814847	69	17
2	Mangareva	0.6712983630952382	0.763410674172207	111	21
2	Tahitian	0.692616445485298	0.7971603719849567	88	19
2	Rurutuan	0.6110978482302012	0.7797925443766659	92	17
2	North_Marquesan	0.7321242559523808	0.8065132562294947	110	21
2	Sikaiana	0.6989898989898992	0.7570657674226955	111	19
2	Hawaiian	0.7618940521284271	0.8284250466505515	104	18
2	Rapanui	0.6682065861170338	0.7645217810475764	108	17
3	Tuamotuan	0.710081340228399	0.7601070100822038	87	20
3	Maori	0.6781368957839546	0.7786754451876103	87	20
3	Ra’ivavae	0.6844660894660896	0.7473194284048242	75	17
3	Mangareva	0.6743316624895572	0.7974026262360961	115	22
3	Tahitian	0.6709615384615385	0.7730418924512634	84	19
3	Rurutuan	0.6119098494098495	0.7403784629274127	92	17
3	North_Marquesan	0.6944525076600551	0.789163025813313	128	21
3	Sikaiana	0.547996336996337	0.7689572953856076	101	20
3	Hawaiian	0.716176046176046	0.792553901511301	113	18
3	Rapanui	0.5905569007263922	0.7846600342910633	111	18
4	Tuamotuan	0.6132746639325586	0.7706052931575468	77	20
4	Maori	0.6237927565392354	0.7937389939270479	95	19
4	Ra’ivavae	0.6214477726574499	0.7506323066004527	79	17
4	Mangareva	0.6283834586466166	0.7966692547400571	114	21
4	Tahitian	0.6405844155844156	0.7874296354836043	89	19
4	Rurutuan	0.5807165471344576	0.741656599143467	96	17
4	North_Marquesan	0.593573396300669	0.7941547241651336	123	21
4	Sikaiana	0.4080547112462006	0.7394716579865143	104	19
4	Hawaiian	0.599684195585835	0.7980079257990391	106	18
4	Rapanui	0.5938714879891351	0.7707868201843525	122	20
5	Tuamotuan	0.7038461538461539	0.7725452620793565	103	20
5	Maori	0.6713941217512647	0.7950194931204709	90	20
5	Ra’ivavae	0.7263284064420428	0.7512674049155843	95	17
5	Mangareva	0.684403076194121	0.7679514117355695	112	21
5	Tahitian	0.7365390828077394	0.790722080632535	79	19
5	Rurutuan	0.5668913637223495	0.7725293539316777	92	18
5	North_Marquesan	0.636014598146951	0.8025503044101632	110	20
5	Sikaiana	0.6653385031044604	0.7762865965848291	102	19
5	Hawaiian	0.6322776361569464	0.8033226724191874	106	18
5	Rapanui	0.6555938505938508	0.7963958922429579	110	19
6	Tuamotuan	0.7021938966383411	0.799418527482721	102	20
6	Maori	0.6575971934667585	0.7843819188999687	93	19
6	Ra’ivavae	0.7044753086419754	0.7320133117428179	86	18
6	Mangareva	0.680185633575464	0.7937126414993282	109	20
6	Tahitian	0.703900534163692	0.8127119622772556	96	19
6	Rurutuan	0.7012976402682285	0.7959109184131703	90	18
6	North_Marquesan	0.7428362573099415	0.7973084255222074	115	20
6	Sikaiana	0.7004228795895462	0.7815217205847358	94	19
6	Hawaiian	0.6836562344759067	0.7933218729710183	101	18
6	Rapanui	0.6670280729371637	0.7745073404239494	109	19
7	Tuamotuan	0.7108595427560946	0.7604401188133247	98	20
7	Maori	0.6792619047619047	0.7869612654463927	104	19
7	Ra’ivavae	0.6593501984126984	0.748882080567075	83	18
7	Mangareva	0.7274748836069591	0.8057366274716597	109	21
7	Tahitian	0.7182850020350019	0.7842882866211047	77	19
7	Rurutuan	0.6946518759018759	0.7927680270670866	82	17
7	North_Marquesan	0.6420918367346937	0.7743998047765008	103	20
7	Sikaiana	0.7093021793021792	0.7693549018611722	105	19
7	Hawaiian	0.704232268705953	0.8148544613624226	103	18
7	Rapanui	0.6331560283687944	0.7614145829736279	112	17
8	Tuamotuan	0.7075787145459276	0.7979408521343552	96	20
8	Maori	0.5912585174681949	0.7435893764067533	91	19
8	Ra’ivavae	0.747222222222222	0.75445023645083	82	18
8	Mangareva	0.7263566680233347	0.7950808365770994	109	22
8	Tahitian	0.7081094047195742	0.8012672882553147	82	19
8	Rurutuan	0.7421188510171561	0.809956982138625	91	17
8	North_Marquesan	0.6774844980727334	0.7795556549697159	113	20
8	Sikaiana	0.6753812079393474	0.7832916219069731	99	21
8	Hawaiian	0.6898619468386911	0.819548554573051	107	18
8	Rapanui	0.6245496000598042	0.7739257387376215	110	18
9	Tuamotuan	0.7706832146348275	0.8244711042210581	93	20
9	Maori	0.65894777265745	0.7667224461407002	103	20
9	Ra’ivavae	0.6946969696969696	0.7579592959218925	88	18
9	Mangareva	0.7070526695526697	0.783782682907545	105	21
9	Tahitian	0.6217588446036721	0.7538752506660407	86	19
9	Rurutuan	0.5337599598469163	0.7510052461301573	97	17
9	North_Marquesan	0.6076326884920635	0.7996416503008766	112	20
9	Sikaiana	0.6123015873015872	0.7725013138169884	102	18
9	Hawaiian	0.7115008503401361	0.8068327360103179	108	18
9	Rapanui	0.6244548096660774	0.7101668455063261	98	19
10	Tuamotuan	0.6835503385503388	0.7807542355891475	97	20
10	Maori	0.619973716759431	0.7837762299009357	96	19
10	Ra’ivavae	0.5989487607908662	0.7520568407767432	75	18
10	Mangareva	0.6444682375237931	0.767882738612187	119	21
10	Tahitian	0.6821919350490778	0.7939657303081369	73	19
10	Rurutuan	0.48216418284911433	0.776364512996884	90	17
10	North_Marquesan	0.572349568833944	0.7797924345557007	120	21
10	Sikaiana	0.6414576365663324	0.7934719136588805	106	20
10	Hawaiian	0.6923874434744	0.8190972732085947	106	18
10	Rapanui	0.6391486291486292	0.795166740340655	113	18
11	Tuamotuan	0.6924318371686793	0.7625641570745998	96	20
11	Maori	0.6544372294372294	0.7899785479431323	97	20
11	Ra’ivavae	0.634960258320914	0.6927828265597185	79	17
11	Mangareva	0.5595796130952381	0.7672240280580552	104	21
11	Tahitian	0.6744392547024125	0.7530843316286988	92	19
11	Rurutuan	0.6818115765298862	0.7653058783099989	90	18
11	North_Marquesan	0.6701505689210607	0.8019860500222029	115	21
11	Sikaiana	0.5130208333333334	0.763173463918459	101	20
11	Hawaiian	0.7169717222348799	0.8190104283032752	102	18
11	Rapanui	0.7063492063492063	0.7884420730673333	114	21
12	Tuamotuan	0.7075321952680441	0.7989920150828711	102	20
12	Maori	0.685525321239607	0.7921734990674721	102	19
12	Ra’ivavae	0.665126050420168	0.7341090531057368	80	17
12	Mangareva	0.708051948051948	0.7989542008823741	109	21
12	Tahitian	0.7340548340548341	0.7669626619166353	86	19
12	Rurutuan	0.5790324463118579	0.7662941387803096	88	17
12	North_Marquesan	0.6107882701103039	0.7715859849075085	114	20
12	Sikaiana	0.7265338827838826	0.7685712284902584	98	18
12	Hawaiian	0.7227918586789555	0.8362136043088174	101	18
12	Rapanui	0.6428769841269841	0.7795411497557	110	17
13	Tuamotuan	0.7266999666999666	0.7758582695526289	86	20
13	Maori	0.6247252747252746	0.7349521560237448	89	19
13	Ra’ivavae	0.6839305040197896	0.7534997324443621	82	17
13	Mangareva	0.6847171347171347	0.7829953644354444	111	21
13	Tahitian	0.6447633136094675	0.7683064646069435	78	19
13	Rurutuan	0.694562251984127	0.7737160973663003	95	18
13	North_Marquesan	0.6890420063807161	0.8085095010714273	117	20
13	Sikaiana	0.6179830586080587	0.7254403239647313	100	18
13	Hawaiian	0.763746564170293	0.8223899845430154	111	18
13	Rapanui	0.6060477657935286	0.7607200456328919	117	19
14	Tuamotuan	0.6636363636363637	0.8118684411305772	101	20
14	Maori	0.6608516483516483	0.7898031004295092	103	19
14	Ra’ivavae	0.7260609005506965	0.7873382179438893	89	18
14	Mangareva	0.7152597402597404	0.7968164969355191	111	22
14	Tahitian	0.7012093726379441	0.7870053678652178	85	19
14	Rurutuan	0.6570374503968255	0.8093051580462588	92	18
14	North_Marquesan	0.7224516369047621	0.8134941553696297	111	20
14	Sikaiana	0.4994462901439645	0.7525198458325136	101	20
14	Hawaiian	0.6711621315192744	0.808320540192703	97	18
14	Rapanui	0.7063352826510721	0.7687241259407345	115	18
15	Tuamotuan	0.738858363858364	0.7878757336013515	96	20
15	Maori	0.6685606060606062	0.7772058059711474	96	19
15	Ra’ivavae	0.6973932676518882	0.7426706383843876	75	18
15	Mangareva	0.7264246682279469	0.7897729734373499	112	22
15	Tahitian	0.7182407407407408	0.8008707673929769	88	19
15	Rurutuan	0.527020202020202	0.749202579090272	92	17
15	North_Marquesan	0.6621002132196162	0.7959806798725033	111	21
15	Sikaiana	0.6748971193415637	0.7830149591990155	96	19
15	Hawaiian	0.6807936507936507	0.8173307304188108	105	18
15	Rapanui	0.6572776280323451	0.7900209607973943	117	18
16	Tuamotuan	0.6549694840678446	0.7744182579592767	97	20
16	Maori	0.6521412411118293	0.7944261555766401	92	20
16	Ra’ivavae	0.641774571582264	0.7607312433224632	84	18
16	Mangareva	0.662279095173832	0.7852091954686352	119	22
16	Tahitian	0.6727296288617042	0.7792162714060614	87	19
16	Rurutuan	0.6987444704657818	0.8293331777342207	92	17
16	North_Marquesan	0.7051408847562695	0.8036062128902527	113	20
16	Sikaiana	0.4887479541734861	0.7729962803910401	98	19
16	Hawaiian	0.725459262959263	0.8199453097821734	104	17
16	Rapanui	0.6451179277072134	0.7779061426432785	111	19
17	Tuamotuan	0.6870652958152959	0.7976499248391496	95	20
17	Maori	0.6609567901234569	0.8063952004288439	107	19
17	Ra’ivavae	0.6826860639360639	0.7697544279811479	78	17
17	Mangareva	0.6075641025641025	0.772239482683371	107	22
17	Tahitian	0.6887776065742165	0.8064824789459306	77	19
17	Rurutuan	0.6176107226107228	0.7947258448097111	86	17
17	North_Marquesan	0.633061821219716	0.8008748740749245	116	20
17	Sikaiana	0.6277027027027028	0.8017164822213031	107	19
17	Hawaiian	0.6973045822102427	0.7903903207305676	103	18
17	Rapanui	0.5780476963512677	0.7895744695140109	108	19
18	Tuamotuan	0.6798684900957628	0.767628854753679	91	20
18	Maori	0.6748617123617123	0.7774505546694551	100	20
18	Ra’ivavae	0.6689516129032256	0.7353674657531032	68	17
18	Mangareva	0.7570932539682538	0.7984253849496377	112	21
18	Tahitian	0.7167532467532465	0.7939982937322032	87	19
18	Rurutuan	0.738410502540937	0.8011039222223612	93	18
18	North_Marquesan	0.666592261904762	0.7646403260111754	113	21
18	Sikaiana	0.6922542735042734	0.7739211996452181	110	19
18	Hawaiian	0.7250637755102041	0.8134422506972441	108	18
18	Rapanui	0.6522111222111221	0.7680026057635523	110	18
19	Tuamotuan	0.6972024550791674	0.7604144358775115	81	20
19	Maori	0.6423930589184826	0.7797051900838655	91	19
19	Ra’ivavae	0.6509393122600668	0.7023709658176899	82	17
19	Mangareva	0.7602619047619048	0.7733854292221312	115	23
19	Tahitian	0.6792580370449223	0.7627939980812402	81	19
19	Rurutuan	0.6972670250896057	0.7905694968807513	87	18
19	North_Marquesan	0.6494505494505495	0.79172912368613	123	21
19	Sikaiana	0.7362500000000001	0.7755714970407644	105	19
19	Hawaiian	0.7809113300492609	0.8368946374465386	100	18
19	Rapanui	0.7080357142857143	0.7869923352123883	119	18
20	Tuamotuan	0.6902655380333952	0.7883822948130876	96	20
20	Maori	0.6700968523002422	0.7640106587609027	97	19
20	Ra’ivavae	0.599031007751938	0.7573239136325217	80	17
20	Mangareva	0.6850003491132524	0.7688821364089574	103	20
20	Tahitian	0.6120844928880645	0.7877369126672592	86	19
20	Rurutuan	0.67181780208096	0.8249817818013361	98	18
20	North_Marquesan	0.6613826232247286	0.8135974018684284	114	20
20	Sikaiana	0.7140740740740741	0.7988558665288367	104	19
20	Hawaiian	0.7210105985968056	0.8349906419861395	100	18
20	Rapanui	0.7617854934181465	0.8387029090582164	113	18
